"Name","Created","Runtime","End Time","ID","Notes","Updated","Tags","learning_rate","accuracy","f1","precision","recall","train.avg_loss","val.accuracy","val.avg_loss","val.f1_score","val.precision","val.recall","val.loss"
"E1-LR-0.0001-NO_RELU","2024-05-20T14:52:14.000Z","176","2024-05-20T14:55:10.000Z","8xxp25pf","Experiment 1, lr-0.0001 without relu on fc layers, run 1","2024-05-20T14:55:10.000Z","NO_RELU","0.0001","0.7254","0.7232556568240962","0.7277901","0.7254","0.020279840477705","0.7254","0.02517767859995365","0.727544343175904","0.7362514406638576","0.7254",""
"E1-LR-0.0001-NO_RELU","2024-05-20T14:55:19.000Z","176","2024-05-20T14:58:15.000Z","x1eakdb8","Experiment 1, lr-0.0001 without relu on fc layers, run 2","2024-05-20T14:58:15.000Z","NO_RELU","0.0001","0.7215","0.7227855322943129","0.7301865","0.7215","0.02122215795814991","0.7215","0.025528135403990744","0.7202144677056871","0.7255487132422241","0.7215",""
"E1-LR-0.0001-NO_RELU","2024-05-20T14:48:28.000Z","216","2024-05-20T14:52:04.000Z","zxomp74i","Experiment 1, lr-0.0001 without relu on fc layers, run 0","2024-05-20T14:52:04.000Z","NO_RELU","0.0001","0.7193","0.7214362898974156","0.7299609","0.7193","0.021015350295603277","0.7193","0.02583233767747879","0.7171637101025843","0.7213550531116949","0.7193",""
"E1-LR-0.0001-NO_RELU","2024-05-20T14:58:24.000Z","171","2024-05-20T15:01:15.000Z","h7abcmlo","Experiment 1, lr-0.0001 without relu on fc layers, run 3","2024-05-20T15:01:15.000Z","NO_RELU","0.0001","0.7168","0.7143128307228764","0.7207135","0.7168","0.020589155821800233","0.7168","0.02588513022661209","0.7192871692771236","0.7307118521662326","0.7168",""
"E1-LR-0.0001-NO_RELU","2024-05-20T15:01:25.000Z","172","2024-05-20T15:04:17.000Z","jfh8j4dz","Experiment 1, lr-0.0001 without relu on fc layers, run 4","2024-05-20T15:04:17.000Z","NO_RELU","0.0001","0.7167","0.7132935640890464","0.7212542","0.7167","0.02094937906801701","0.7167","0.02606711621582508","0.7201064359109536","0.7337396260917108","0.7167",""
"E1-LR-0.0026-NO_RELU","2024-05-20T15:04:26.000Z","172","2024-05-20T15:07:18.000Z","cph2e7or","Experiment 1, lr-0.0026 without relu on fc layers, run 0","2024-05-20T15:07:18.000Z","NO_RELU","0.0026","0.6831","0.6846506191238686","0.6939486","0.6831","0.025996443895101543","0.6831","0.029250020363926887","0.6815493808761314","0.6872120244772714","0.6831",""
"E1-LR-0.0026-NO_RELU","2024-05-20T15:07:28.000Z","172","2024-05-20T15:10:20.000Z","6dfymsod","Experiment 1, lr-0.0026 without relu on fc layers, run 1","2024-05-20T15:10:20.000Z","NO_RELU","0.0026","0.6642","0.6692435765284632","0.6878449000000001","0.6642","0.02688586510181427","0.6642","0.03017796093225479","0.6591564234715368","0.6715354883917565","0.6642",""
"E1-LR-0.0026-NO_RELU","2024-05-20T15:13:32.000Z","176","2024-05-20T15:16:28.000Z","butoxz8c","Experiment 1, lr-0.0026 without relu on fc layers, run 3","2024-05-20T15:16:28.000Z","NO_RELU","0.0026","0.6643","0.6674161297960798","0.6775802000000001","0.6643","0.026330829657912256","0.6643","0.030541927292943","0.6611838702039202","0.6650612721327392","0.6643",""
"E1-LR-0.0026-NO_RELU","2024-05-20T15:16:39.000Z","178","2024-05-20T15:19:37.000Z","lrrjw34g","Experiment 1, lr-0.0026 without relu on fc layers, run 4","2024-05-20T15:19:37.000Z","NO_RELU","0.0026","0.6621","0.6647775563870512","0.6871970000000001","0.6621","0.027571055295467377","0.6621","0.0314266179561615","0.6594224436129488","0.6710751239643201","0.6621",""
"E1-LR-0.0026-NO_RELU","2024-05-20T15:10:30.000Z","174","2024-05-20T15:13:24.000Z","yw4n70tu","Experiment 1, lr-0.0026 without relu on fc layers, run 2","2024-05-20T15:13:24.000Z","NO_RELU","0.0026","0.6633","0.6639794858150122","0.6741343","0.6633","0.02682320991277695","0.6633","0.030056752878427507","0.6626205141849878","0.6740578294221864","0.6633",""
