"Name","Created","Runtime","End Time","ID","Notes","Updated","Tags","learning_rate","accuracy","f1","precision","recall","train.avg_loss","val.accuracy","val.avg_loss","val.f1_score","val.precision","val.recall"
"E1-LR0.0001","2024-05-19T14:06:35.000Z","152","2024-05-19T14:09:07.000Z","5hfehx01","Experiment 1, lr-0.0001 run 1","2024-05-19T14:21:23.000Z","","0.0001","0.7258","0.7256061026813078","0.7279813","0.7258","0.02190388388454914","0.7258","0.024988414731621743","0.7259938973186923","0.728744848991211","0.7258"
"E1-LR0.0001","2024-05-19T14:04:00.000Z","148","2024-05-19T14:06:28.000Z","n6heqtnz","Experiment 1, lr-0.0001 run 2","2024-05-19T14:22:17.000Z","","0.0001","0.7162","0.7216290271083033","0.7340049","0.7162","0.02237776773750782","0.7162","0.02597591574192047","0.7107709728916967","0.713554938080179","0.7162"
"E1-LR0.0001","2024-05-19T13:58:44.000Z","151","2024-05-19T14:01:15.000Z","s45wo93w","Experiment 1, lr-0.0001 run 3","2024-05-19T14:22:21.000Z","","0.0001","0.7173","0.7169183495180701","0.7206790999999999","0.7173","0.02224678946018219","0.7173","0.025720646196603775","0.7176816504819298","0.7225728777470711","0.7173"
"E1-LR0.0001","2024-05-19T14:01:21.000Z","152","2024-05-19T14:03:53.000Z","cl8fgw7x","Experiment 1, lr-0.0001 run 4","2024-05-19T14:22:24.000Z","","0.0001","0.6974","0.7044086163149146","0.7342104","0.6974","0.022065077723264697","0.6974","0.02737800595164299","0.6903913836850855","0.7133823357760605","0.6974"
"E1-LR0.0001","2024-05-19T14:09:13.000Z","150","2024-05-19T14:11:43.000Z","s0ifozuh","Experiment 1, lr-0.0001 run 5","2024-05-19T14:22:28.000Z","","0.0001","0.7046","0.7016562384038345","0.7177454999999999","0.7046","0.022109195242524148","0.7046","0.026481266647577287","0.7075437615961655","0.7318409890394965","0.7046"
"E1-LR-0.0026","2024-05-19T14:22:23.000Z","148","2024-05-19T14:24:51.000Z","nta5sokz","Experiment 1, lr-0.0026, run 1","2024-05-19T21:08:03.000Z","","0.0026","0.698","0.7002357045488721","0.7093596000000001","0.698","0.014349280248582364","0.698","0.03305139488577843","0.6957642954511278","0.7001972643100395","0.698"
"E1-LR-0.0026","2024-05-19T14:11:49.000Z","149","2024-05-19T14:14:18.000Z","3ywh6n5g","Experiment 1, lr-0.0026 run 2","2024-05-19T21:08:06.000Z","","0.0026","0.6943","0.6917045900663205","0.6961277","0.6943","0.015256814385652542","0.6943","0.03211032097041607","0.6968954099336796","0.706106219040899","0.6943"
"E1-LR-0.0026","2024-05-19T14:19:44.000Z","152","2024-05-19T14:22:16.000Z","z33zhs23","Experiment 1, lr-0.0026 run 3","2024-05-19T21:08:08.000Z","","0.0026","0.6852","0.6851952631822295","0.6909989999999999","0.6852","0.017700209652781487","0.6852","0.031620335578918454","0.6852047368177706","0.6914447210316491","0.6852"
"E1-LR-0.0026","2024-05-19T14:14:25.000Z","151","2024-05-19T14:16:56.000Z","me2d76f9","Experiment 1, lr-0.0026 run 4","2024-05-19T21:08:12.000Z","","0.0026","0.6891","0.6844193821343705","0.6880729000000001","0.6891","0.014599531411975624","0.6891","0.03261814480125904","0.6937806178656296","0.7065249169886423","0.6891"
"E1-LR-0.0026","2024-05-19T14:17:02.000Z","156","2024-05-19T14:19:38.000Z","4q5kq6e8","Experiment 1, lr-0.0026 run 5","2024-05-19T21:08:15.000Z","","0.0026","0.685","0.6826208425287105","0.6841489","0.685","0.013157201182544232","0.685","0.03496760151684284","0.6873791574712895","0.6936821564556238","0.685"
